"Disc Number","Track Number","Original Name","Original Name Language (ie., ""es"", ""jp"") (optional)","International Name (optional)","Duration (""m:ss"")","ISRC (optional)"
1,1,"A Nonsensical Song",,,2:38,
1,2,"A Nonsensical Song Yet Again",,,1:45,
1,3,"Creation",,,0:57,
1,4,"Mystery",,,0:29,
1,5,"Bug Crusher",,,0:12,
1,6,"Where We Began",,,1:38,
1,7,"Halloween",,,3:08,
1,8,"Jazzy",,,2:12,
1,9,"SFX Start",,,0:04,
1,10,"SFX Hover",,,0:01,
1,11,"SFX Select",,,0:01,
1,12,"SFX Add Source",,,0:01,
1,13,"SFX Option",,,0:01,
1,14,"SFX Prompt",,,0:01,
1,15,"SFX Error",,,0:01,
1,16,"SFX Render Complete",,,0:02,
1,17,"SFX Back",,,0:01,
1,18,"SFX Disambiguation",,,0:01,
1,19,"SFX Compatible Select",,,0:01,
1,20,"SFX Quit",,,0:03,